,date,pm25,pm10,o3,no2,so2,co,AQI_PM25,AQI_PM10,AQI
93,5/28/2019,104,36,32,5,3,6,245.3793103,36,245.3793103
94,5/29/2019,63,55,25,4,1,4,107.8275862,55,107.8275862
95,6/1/2019,73,50,15,3,1,4,141.9655172,50,141.9655172
96,6/2/2019,82,30,18,4,1,4,172.6896552,30,172.6896552
97,6/3/2019,60,46,20,2,2,2,100,46,100
98,6/4/2019,75,45,18,2,1,3,148.7931034,45,148.7931034
99,6/5/2019,76,23,16,4,2,7,152.2068966,23,152.2068966
100,6/6/2019,66,17,17,5,4,7,118.0689655,17,118.0689655
101,6/7/2019,80,40,26,5,2,6,165.862069,40,165.862069
102,6/13/2019,34,33,15,1,2,2,56.06896552,33,56.06896552
103,6/16/2019,55,45,8,1,1,2,91.55172414,45,91.55172414
104,6/23/2019,29,30,16,1,1,4,48.33333333,30,48.33333333
105,6/24/2019,47,50,14,1,2,3,78.03448276,50,78.03448276
106,6/25/2019,70,45,13,1,1,3,131.7241379,45,131.7241379
107,7/3/2019,41,35,13,2,1,8,67.89655172,35,67.89655172
108,7/4/2019,37,36,12,5,1,7,61.13793103,36,61.13793103
109,7/5/2019,43,29,12,4,1,13,71.27586207,29,71.27586207
110,7/6/2019,42,35,14,2,1,13,69.5862069,35,69.5862069
111,7/7/2019,48,37,10,3,4,19,79.72413793,37,79.72413793
112,7/8/2019,45,26,12,2,1,15,74.65517241,26,74.65517241
113,7/9/2019,38,21,14,2,1,12,62.82758621,21,62.82758621
114,7/10/2019,39,22,15,3,1,12,64.51724138,22,64.51724138
115,7/11/2019,48,35,16,5,1,12,79.72413793,35,79.72413793
116,7/12/2019,53,35,17,4,1,12,88.17241379,35,88.17241379
117,7/13/2019,49,27,18,3,1,12,81.4137931,27,81.4137931
118,7/14/2019,50,26,17,4,1,12,83.10344828,26,83.10344828
119,7/15/2019,44,32,17,4,1,14,72.96551724,32,72.96551724
120,7/16/2019,60,32,16,4,1,11,100,32,100
121,7/17/2019,58,37,13,5,1,10,96.62068966,37,96.62068966
122,7/18/2019,79,22,15,4,2,3,162.4482759,22,162.4482759
123,7/19/2019,44,17,13,3,1,4,72.96551724,17,72.96551724
124,7/20/2019,31,16,14,3,1,3,51,16,51
125,7/21/2019,31,18,16,3,1,5,51,18,51
126,7/22/2019,36,21,14,4,1,4,59.44827586,21,59.44827586
127,7/23/2019,34,28,17,4,1,5,56.06896552,28,56.06896552
128,7/24/2019,44,21,16,5,1,5,72.96551724,21,72.96551724
129,7/25/2019,31,26,13,4,2,5,51,26,51
130,7/26/2019,40,33,15,4,1,5,66.20689655,33,66.20689655
131,7/27/2019,45,35,17,4,1,5,74.65517241,35,74.65517241
132,7/28/2019,46,37,15,3,1,4,76.34482759,37,76.34482759
133,7/29/2019,55,31,14,4,1,5,91.55172414,31,91.55172414
134,7/30/2019,42,32,15,4,1,4,69.5862069,32,69.5862069
135,7/31/2019,44,30,14,3,1,4,72.96551724,30,72.96551724
136,8/1/2019,38,32,13,3,1,3,62.82758621,32,62.82758621
137,8/2/2019,42,28,15,3,1,4,69.5862069,28,69.5862069
138,8/3/2019,35,29,13,2,1,5,57.75862069,29,57.75862069
139,8/4/2019,37,17,12,3,1,3,61.13793103,17,61.13793103
140,8/5/2019,27,13,11,3,1,4,45,13,45
141,8/6/2019,18,14,10,3,1,4,30,14,30
142,8/7/2019,25,16,10,3,1,4,41.66666667,16,41.66666667
143,8/8/2019,28,14,10,4,1,4,46.66666667,14,46.66666667
144,8/9/2019,21,15,12,3,1,3,35,15,35
145,8/10/2019,24,21,12,2,1,1,40,21,40
146,8/11/2019,29,26,12,4,4,5,48.33333333,26,48.33333333
147,8/12/2019,40,21,13,4,3,7,66.20689655,21,66.20689655
148,8/13/2019,35,23,12,5,3,4,57.75862069,23,57.75862069
149,8/15/2019,35,20,9,5,2,3,57.75862069,20,57.75862069
150,8/16/2019,42,27,7,7,1,4,69.5862069,27,69.5862069
151,8/17/2019,48,29,7,9,1,4,79.72413793,29,79.72413793
152,8/18/2019,56,23,7,8,1,8,93.24137931,23,93.24137931
153,8/19/2019,46,22,5,6,2,16,76.34482759,22,76.34482759
154,8/20/2019,36,24,8,4,5,11,59.44827586,24,59.44827586
155,8/21/2019,42,29,8,3,4,4,69.5862069,29,69.5862069
156,8/22/2019,47,23,8,3,4,3,78.03448276,23,78.03448276
157,8/23/2019,40,21,8,2,4,3,66.20689655,21,66.20689655
158,8/24/2019,40,24,8,2,4,3,66.20689655,24,66.20689655
159,8/25/2019,43,27,9,6,2,8,71.27586207,27,71.27586207
160,8/26/2019,47,20,12,7,6,3,78.03448276,20,78.03448276
161,8/27/2019,24,27,12,12,1,2,40,27,40
162,8/28/2019,42,27,13,10,4,7,69.5862069,27,69.5862069
163,9/2/2019,30,15,9,4,3,6,50,15,50
164,9/3/2019,32,23,10,4,3,5,52.68965517,23,52.68965517
